,日付,タイトル,本文
59,2019年5月30日,アクアメール Web shop、再始動します。,こんにちは、アクアメールです。初めまして、レートル・エ・ルニャンです。本日より、アクアメールのWebshopは、Web版レートル・エ・ルニャンとして、新たなスタートを切ることになりました。 これまでは、イベント情報などの、お知らせのみでしたが、これからはレシピのご紹介や、フランスにまつわるお話、日々考えたこと・感じたことなど、色々な情報をお届けいたします。「Web版」と銘打っている以上、レートル・エ・ルニャンには「実店舗版」もございます。お店での出来事や、お店がある葉山についても書いていきたいと思います。 どうぞよろしくお願いします。 
80,2019年6月2日,お店の名前の話,こんにちは。L’Êtreetlenéantです。読めないですよね（笑）改めまして、レートル・エ・ル・ニャンです。初めましてのお客様からは、よく読み方を聞かれます。 フランス食材のお店なので、店名はそれらしく、フランス語で。ニャンと入っていますが、猫は関係ございません。店名は、とある哲学者の著作から、拝借してきました。 日本語に訳すと『存在と無』 実存主義を提唱した、20世紀を代表する哲学者、ジャン=ポール・サルトルの代表作です。そこまで深くサルトルを知っているわけではないのですが、なんだか、考え方に惹かれるので、この名前を使わせてもらっています。「存在と無」「あるとない」「Tobeornottobe」「物と余白」いろんな解釈ができるなぁ、なんて一人で言葉遊びを楽しんでいます。 でも、１番面白かったのは、「やってるか、やってないか、わからないから、この名前にしたの？」というお客様の一言。一本取られました（笑） 
86,2019年5月30日,ゲランドの塩のこと-その1-,ゲランドの塩について、何度かに分けてお話をしていきます。そもそも「ゲランド」って何？　と言うところから。ずばり、場所の名前。↓ここです。  ブルターニュ半島という、それはそれは美しい自然に囲まれた半島にゲランドはあります。三方向を海に囲まれるだけではなく、湿地帯や、伝説息づく森があったり、見所も満載。 さて、このゲランド。ブルトン語ではGwenrann。『白い土地』を意味します。塩田が密集する地域だけありますね！北は川、東は湿地、西は海、南は砂浜に囲まれた、まさに自然の宝庫。ゲランドの塩田やその周辺地域は、ラムサール条約で保護された地域でもあるので、たくさんの水鳥も飛び交っています。　　　この水鳥たちの鳴き声が響きわたると、海風とも相まって、夏が来たなぁというワクワクした気分になります。妙に甲高い、そして味のある声で鳴く水鳥たちです。突然その鳴き声が響きわたると、割とびっくりします（笑）夏の気温は高いのですが、湿気が少なく、カラッとした空気で、とても心地が良いです。冬になると、ガクンと気温が落ち、雨の日が多くなります。この気候が、また塩づくりの大切な要素のひとつでもあるんです。 塩づくりの詳しい話は、またの機会に！  
94,2019年5月30日,白米のこと,日々の暮らしを「おいしく、たのしく、すこやかに」を目指して、これからアクアメールで輸入している商品を使ったレシピをご紹介していきます。こちらのページにも書いていますが、僕は薬膳料理の考え方が好きです。普段の食事を美味しく取りながら、健やかな体づくりを意識できるのが、とても優しいなと感じているからです。その優しさが、僕達の商品選びの基準にも沿っている気がします。食材の持つ性質を組み合わせながら、レシピを考えたら、美味しさを求めて作るだけのレシピとは、また違った組み合わせが出来上がって面白いかもしれない。そんな思いで、薬膳の考え方をベースに、レシピ作りをしていきます。さて、その第一号。どの食材について、書こうか、色々と迷ったのですが、まずは日本人らしく、そして塩とも相性の良いお米で書きたいと思います。お米は、日本人にとっては主食なので、そのまま食べるのはもちろん、炊き込んだり、炒めたり、煮込んだり、色々な楽しみ方が出来ますね。今回は、一番シンプルに炊きます。ただ、そのままお米を炊くだけでは、レシピでも何でもないので、少しだけアクセントを加えたいと思います。それは、塩とオイルを加えるです。・ゲランドの塩（あら塩）：３g・NYONSオリーブオイル：大さじ１・米：３合・水：600ml（米の量と水の量を大体同量にしておくと、美味しく炊けます）よく研いだお米にお水をはり、20分つけておきます。その時に、あら塩と、オリーブオイルを加えておきます。我が家では、土鍋でお米を炊くのですが、炊飯器でももちろん大丈夫です（最近の炊飯器は、性能がすごいそうですね）土鍋（３合炊き）で炊く場合ですが、手順は次の通りでやっています。１.白米３合を水で研いでから、600mlの水に２０分つける。２.中強火で１０分炊き、２０分蒸らす。土鍋によって異なると思いますので、参考程度ですが。そして炊き上がりが、こちら。ほんのりとした塩っ気とオリーブオイルのまろやかな風味が、お米の美味しさを引き立ててくれています。お米の甘みを堪能できる炊き上がり。これは、おにぎりにしたくなりますね。さて、それではここで薬膳の目線でお米のお話を。お米の性質は、食味は、甘味食性は、平性対応する臓器は、脾・胃。作用としては、消化機能を正常にし、胃の機能を回復させたり、元気をつけてくれます。また、イライラや喉の渇きを抑えてもくれます。疲れた時は、お米を食べて、元気をつけるといいですね。とはいえ、食べ過ぎは、肥満の元なので、気をつけてくださいね。
99,2019年5月30日,ラ・ベル・イロワーズのこと-その１-,ラ・ベル・イロワーズの缶詰についてお話ししたいと思います。オフィシャルサイトでも、簡単にご紹介しているのですが、その魅力を一つのページにおさめることは、非常に難しい！というわけで、他の商品同様、こまめにラ・ベル・イロワーズの魅力について、書き進めていきます。 今回は、このブランドの歴史について、ご紹介…….をする前に、このブランドが拠点を構える、キブロンという港町についてご紹介。この地域のお話をすることで、よりラ・ベル・イロワーズのオイルサーディンを楽しんでいただけると思います。キブロンは、ブルターニュ半島の南端に位置します。フランスでは、イワシの漁獲量の多さで有名な漁港のひとつ。正にオイルサーディンを作るには、うってつけの港町です。そして凄いのが、このイワシ漁が、古くは、この地域一帯の経済を担っていたということ！漁師達が活躍したのはもちろんなのですが、彼らを支える船周りの仕事も盛ん。そして漁師達が収穫してきたイワシの加工には、彼らの帰りを待つ女性達が活躍していました。そして、缶詰にするためには、缶が必要不可欠。缶詰の溶接業者達も大活躍していました。その経済効果を裏付けるように、1882年には、キブロンまで、鉄道が敷かれたほどでした。 因みに、当時の加工の様子は、こんな感じだったそうです。伝統的なブルターニュの装束で作業されている方も。そして、今日も、ベルイロワーズでは、たくさんの女性が働いています。彼女たちはサーディンを傷つけずに加工するために必要な繊細なノウハウを持っているそうです。 オイルサーディンをはじめとした、缶詰加工品が、いかにひとつの町の経済を支えていたかが分かって、面白いです。 ということで、今回は歴史の時間でした！ ▼この記事に関連する缶詰商品はこちらです。レートル・エ・ルニャン『ブルターニュ海産物缶詰』ページ
109,2019年5月30日,ラ・ベル・イロワーズのこと-その２-,今回から、ラベルイロワーズの歴史についてお話ししたいと思います。創業は、何と1932年！90年近くもの長きにわたって、魚介の缶詰商品を作り続けているブランドなんです。しかも３世代に渡る家族経営。現社長のお祖父様、ジョルジュ・イリエ氏からスタートしています。創業当初から、缶詰に対してのこだわりは強いものでした。工場を漁港のすぐ近くで開くことで、着いたばかりの魚を加工する、つまり新鮮な質の良い魚をすぐに加工できるという工夫を、開業の時点からしていたほど！美味しい魚介缶を作るには、新鮮な魚介を！このスタイルでジョルジュ氏は、オイルサーディンを作り続けていました。しかし、1960年代に入ると、新しい生産技術が発達し、安価なオイルサーディンを作れるようになってきます。その新しい技術とは、冷凍の魚を使用することで年中生産し続けるということ（本来ならば、年間5ヶ月間のみしか生産していませんでした）。缶の中で直接加熱し、手間を省くということです。確かに、この方法は、コストを削減につながるのですが、同時に品質も劣化させる方法でもあったのです。こうした時代の流れの中で、ラ・ベル・イロワーズの歴史は新たに動こうとしていました……。
127,2019年5月30日,シトロン風味のサーディンとみかんのサラダ,こんにちは。レートル・エ・ル・ニャン新美光祐の薬膳テロワールレシピ。第2弾は『シトロン風味のサーディンとみかんのサラダ』のレシピ紹介です。　　　　大きなレモンの輪切りと、オリーブオイルだけのシンプルでふっくらしたサーディンが魅力の「オイルサーディンシトロン風味」の缶詰を使い、缶詰そのもののおいしさを引き立てるシンプルなサラダです。お酒の席で、前菜として楽しめますよ。　　【必要な材料（２～３人分）】・オイルサーディンシトロン風味の缶詰…1缶・みかん…1個・ミニトマト…6～8個・ブロッコリー…下茹でしたものを1/5房ほど（茎も美味しいのでぜひ）・パン粉…適量・オリーブオイル…適量・塩…適量・こしょう…適量・バジル…4～5枚　　　　はじめに、みかんの皮をむいて、ひとつずつ半分に切り込みを入れ開いた状態にしてお皿に敷き詰めましょう。みかんの種類は、その季節にスーパーなどで販売しているみかんならどれでもOKです。　　　　主役のオイルサーディンの缶を開けましょう。とても爽やかな香りが立ち上がります。　　　　ミニトマトも半分に切り、お皿に敷いたみかんの上に散りばめたら、缶詰のオイルサーディンを写真のように並べ、その上にレモンを２枚ほど置きましょう。　　　　その後、下茹でしておいたブロッコリーを乗せ、食感を楽しむためにパン粉をパラパラとかけたら、オープンに投入。約３分くらい焼くといいかなと思います。　　　　じーっと待ちます。この間、お酒を飲んでてもいいですね。　　　　店長もじーっと待ちます。　　　　焼き上がりました！レモンとオイルサーディンの香りが立って、とても美味しそうな焼きあがりです。塩、こしょうを適量振ってできあがり。テーブルにも塩、こしょうを置いておき、食べる方の好みで味を足せるようにするといいと思います。　　　　一皿ずつ取り分けたら、　　　　はい、完成です。そのままでも食べられるおいしいオイルサーディンの缶詰を使い、ひと手間加えるだけで、ごちそうのようなサラダができあがります。普段のお食事や、みんなが集まるパーティのときの一皿に、とてもおすすめなサラダですよ！　さて、それぞれの食材を薬膳の目線でお伝えします。イワシの作用は、疲労回復や、消化機能の促進、不安の解消、血行促進、眼精疲労や、脳の機能を高めてくれます。レモンの作用は、体に潤いを与え、暑さや喉の渇きの対策。みかんの作用は、気を巡らし、食欲増進、喉の渇きや肺の燥き対策。トマトの作用は、体に潤いを与え、口の渇きや食欲不振、暑さ対策。ブロッコリーの作用は、胃弱改善や、腎の機能を高め、体質改善に。これからやってくる、じわじわとした暑い季節の前に食べておきたいレシピです。みかんの代わりに、オレンジなど、今の季節に出回っている柑橘類を使っても大丈夫です。
202,2019年6月1日,薬膳のこと-その1-,皆さんは、薬膳という言葉を耳にしたことがありますか？最近は、食べることと健康の関係が、どんどん重要になっている気がします。マクロビ、スーパーフードなどなど、健康面を意識した食が注目されていますね。そういった「食と健康」というジャンルの中で、興味を引いたのが、薬膳でした。薬膳とは、簡単にいうと、中国伝統医学（中医学）の考え方に基づき、食材に効能を見出し、食材同士を組み合わせて、体の調子を整える食事です。僕は、食べることも、料理をすることもどちらも大好きです。食材同士を組み合わせることで、色んな味を生み出せるのが、何とも楽しい、まるで日常的な芸術のような魅力を感じていました。そんな時に出会ったのが、薬膳です。それまで、美味しさや見た目の楽しさを目指していたところに、更に、体の調子まで整える手助けをしてくれるとは、何て面白いんだろう、まるで生活に根ざした魔法のようと、一気に虜になりました。薬膳では、中医学における、体や自然、感情、物質などの関係性をもとに、食材が持つ性質を組み合わせて、人それぞれの体質に合った料理を組み立てていきます。理論を細かく書いていくと、難しいと感じることもあるかもしれません。とてもシンプルに考えると、薬膳というのは、食べる人のことを想った料理なのではないかなと、僕は感じています。人に寄り添う、とても優しい調理法それが薬膳の魅力だと思います。そんな魅力を伝えられるように、これからコツコツと、薬膳のお話をしていきます。
238,2019年6月4日,店長紹介,こんばんは。レートル・エ・ル・ニャン、こうすけです。今日は、当ショップの店長をご紹介したいと思います。こちらで、Web版だけではなく、実店舗版レートル・エ・ル・ニャンもあります、と書かせていただきました。実店舗ゆえに、店を回すためには店長が必要です。ですので、実店舗版レートル・エ・ル・ニャンには、店長がいます。名前をサルトルと言います。店名の由来となった本を書いた、哲学者の名前からいただきました。顔が、似てるんです、どことなく。ぼーっとしてる時の顔が、思索にふけっているようで、哲学者然としています。よく略してサル、サルと呼ばれています。犬なのにサル？　と言われることもしばしばですが。サルというのは、ラテン語で「塩」を意味します。ゲランド塩を扱っている店の店長としては、ぴったりではないでしょうか？店長は、毎日お店に出勤しております。よろしければ、店長の顔を見に、お立ち寄りください。当店のインスタグラムでは、店長日記も上げていきます。お楽しみに。
243,2019年6月7日,キャロットラペ-シリーズ1-,おはようございます、こうすけです。今日の薬膳テロワールレシピは、フランスのオーソドックスなサラダ、「キャロット・ラペ」のご紹介。キャロット・ラペといえば、ビストロや、フレンチの惣菜で定番のサラダです。ニンジンをふんだんに使った、このサラダは正に薬膳料理にふさわしいひと品。このキャロット・ラペをベースに、これから数回に渡って、薬膳的なアレンジをしたキャロット・ラペのレシピをお伝えしたいと思います。今日は、一番ベーシックなキャロット・ラペから。【材料：2~3人前】ニンジン：1本マスタード：小さじ2ビネガー：20~30ccニョンスオリーブオイル：80cc~ゲランドの塩　顆粒：ひとつまみ胡椒：適量キャロット・ラペの「ラペ」は、râpéeと書きます。フランス語で、「擦りおろす」を意味する言葉。擦りおろしニンジンといったところでしょうか。調理器具は、このあたりが揃っていると便利です。ラペというくらいなので、左の卸し金があると、正しくキャロット・ラペ。とはいえ、卸し金がなくても、全然大丈夫です。包丁で千切りでもいいですし、ピーラーで削るようにしても、美味しく仕上がります。まずは、卸し金で、ニンジンを擦りおろしていきます。慣れないうちは、擦りおろしづらいので、怪我をしないように気をつけてくださいね。僕は、未だに苦手です。最後まで擦りおろせたことがありません。仕上がりは、こんな感じになります。包丁の場合は、ニンジンを薄くスライスします。これくらい薄いと、食感もいいので、オススメです。それを千切りにしていきます。ラペっぽくしたいので、少し幅広にして見ました。皮むき器があると、更に便利です。鰹節のごとく、削っていきます。ニンジンを持っている指を削らないように、気をつけてくださいね。仕上がりは、こんな感じです。今度は、ドレッシングを作っていきます。今回は、一番シンプルなドレッシングに。このドレッシングを作るときに、大切なのが乳化させること。乳化とは、水分と油分を混ぜ合わせて、とろみをつける方法です。水分と油分を混ぜ合わせるときに、とろみのある食材を加えておくと、乳化しやすいです。分かりやすいのは、マヨネーズですね。この場合、とろみのある食材は、卵黄になります。さて、今回のドレッシングでは、とろみのあるものとして、マスタードを使います。ビネガーにマスタードを加えたら、全体をなじませるように、軽く混ぜ合わせます。ビネガーは、お好みのものをお使いください。今回は、リンゴ酢を加えています。そこに、オリーブオイルを少し加えて、混ぜます。この「オリーブオイルを少し加えて、混ぜる」を数回繰り返します。そうすると、だんだん全体が少し濁って、とろみがついてきます。こんな感じですね。これが乳化した状態。ここまできたら、残りのオイルを多めに加えつつ、更に混ぜていきます。好みのオイリーさに近づいたら、塩を加えて、味を整えます。それにしても、乳化というのは、素晴らしいですね。乳化を発見した人は、本当に偉大。このドレッシングに、先ほどのニンジンを加えて混ぜ、最後にニンジンの葉っぱ（パセリなどでも可）を散らしたら完成です。ほんのり酸味の効いたドレッシングで、いくらでも食べられる気がします。では、ここで薬膳的なお話を。ニンジンは、味が甘く、穏やかな効能を持つ食材とされています。肺や脾、肝臓の調子を整えると言われています。消化機能を調えて、胃や消化組織の中に停滞している、未消化なものを取り除くのに、役立ちます。また、眼の乾燥や疲れ目などにも良いとされています。中国では、宮廷料理に欠かせない食材の一つで、その昔、皇族の専属医が多用していたとの話もあるほど。穏やかな性質なので、毎日食べてもいいくらい。調味料で使ったビネガーも、消化促進や、血行促進などにおすすめ。マスタードの原料となる、シロガラシの種は、白芥子といって、中医学では、生薬としても使われています。体を中から温めたり、痛み止めや気を巡らせるのにも用いられます。こうやって分析してみると、消化促進として、かなり理にかなったサラダですね。お肉などの付け合せに食べたくなる理由がわかった気がします。お腹の調子を整えたいときに、食べると良さそうですね。
